gene.id	SYMBOL	logFC	AveExpr	P.Value	adj.P.Val
18810	Plec	-3.14134696616898	5.69681524536334	4.97825779407482e-09	6.59903903486205e-07
217843	Unc79	-3.49268255081745	5.29760123400679	5.10980158898321e-09	6.59903903486205e-07
12288	Cacna1c	-3.19290058702034	5.53762451416491	5.12113563279991e-09	6.59903903486205e-07
19156	Psap	-2.68107306176169	9.65546082503267	5.1272285053898e-09	6.59903903486205e-07
69219	Ddah1	2.75394696434117	5.61957923229231	5.14174738782597e-09	6.59903903486205e-07
14828	Hspa5	-3.03604142045597	6.46797358465848	5.44144481999637e-09	6.82979376912534e-07
11981	Atp9a	-2.78100165566859	7.76419840986732	5.5306111922602e-09	6.82979376912534e-07
20312	Cx3cl1	-2.56389860572985	8.38603604673881	5.56567135190207e-09	6.82979376912534e-07
11980	Atp8a1	-3.49379879867419	6.38850976247129	5.56628585737405e-09	6.82979376912534e-07
13839	Epha5	-3.16157914586574	6.25942702156435	5.5798492540344e-09	6.82979376912534e-07
11603	Agrn	-3.1189515177973	5.4218029323203	5.60919465806307e-09	6.82979376912534e-07
20713	Serpini1	-3.17988406064978	6.68254097477901	5.84418443307867e-09	6.98941580682952e-07
269700	Hectd4	-2.9349110559655	7.21321584163081	6.01256364628907e-09	6.98941580682952e-07
16980	Lrrn2	-2.8796548862723	7.03094816182648	6.03097947509034e-09	6.98941580682952e-07
14733	Gpc1	-2.59704608062851	6.79199324226632	6.05045501504184e-09	6.98941580682952e-07
224807	Tmem63b	-3.11452382956745	5.59411733048971	6.0860013163449e-09	6.98941580682952e-07
270120	Fat3	-4.35877353416662	4.09821240860883	6.10481095559986e-09	6.98941580682952e-07
78070	Cpt1c	-2.74399908838932	5.84016738948472	6.11142223684463e-09	6.98941580682952e-07
110876	Scn2a	-3.02011419021717	6.73672545167549	6.13278798156458e-09	6.98941580682952e-07
12317	Calr	-2.88610103269416	7.43474887520326	6.47821242144197e-09	7.3244931869732e-07
14827	Pdia3	-2.7548498894819	6.6463822522595	6.63879289720135e-09	7.44694831602602e-07
12211	Birc6	-3.16035629448599	5.82952817247599	6.70426844367875e-09	7.46164126942558e-07
73991	Atl1	-3.06607917379703	6.20705114402079	7.28840791711099e-09	7.93044038217196e-07
72145	Wdfy3	-3.18079070441384	6.58144755019801	7.33139692693971e-09	7.93044038217196e-07
75669	Pik3r4	-2.9258570641116	4.99595817591886	7.37282567342317e-09	7.93044038217196e-07
227753	Gsn	-2.82968092747996	6.16991534822543	7.38173999157693e-09	7.93044038217196e-07
76376	Slc24a2	-2.71044293924292	8.56452836265243	7.40382262269319e-09	7.93044038217196e-07
224022	Slc7a4	-2.99358780979753	5.26272729185288	7.80912440917979e-09	8.25380959557407e-07
16795	Large1	-2.81454661959565	6.23372929219937	7.82159409941386e-09	8.25380959557407e-07
270627	Taf1	-2.71847286017502	6.05278825233989	7.88009763436174e-09	8.25440227199392e-07
64294	Itm2c	-2.56920724228305	8.92540046848758	7.95232315413837e-09	8.2692551572157e-07
19275	Ptprn	-2.52227891100731	7.9804745389368	8.04636523459647e-09	8.30641442985952e-07
330908	Opcml	-2.65291587406362	7.05033155778654	8.13410388280923e-09	8.33657869888492e-07
78309	Cul9	-2.72306368788627	5.58331319505132	8.43332406382499e-09	8.5264403271594e-07
18845	Plxna2	-3.07162841559905	5.34348481704637	8.44007638166590e-09	8.5264403271594e-07
68795	Ubr3	-2.69328306987262	7.46622738622903	8.49890865124691e-09	8.5264403271594e-07
70495	Atp6ap2	-2.92966027539515	7.21854541110948	8.79988869594389e-09	8.76665834702214e-07
108073	Grm7	-3.21964109155924	4.81528536216212	8.93288742031258e-09	8.79030057900169e-07
241919	Slc7a14	-2.86286058121473	6.55234729644498	8.94702782504032e-09	8.79030057900169e-07
666173	Vps13b	-3.32624532513671	4.88315898118811	9.08686394300295e-09	8.8665386117822e-07
230775	Adgrb2	-2.68839241138892	8.06163781364518	9.2285485981819e-09	8.88401782152542e-07
233863	Gtf3c1	-3.05544356597679	6.59916908658743	9.23172247377932e-09	8.88401782152542e-07
238130	Dock4	-3.6460602784946	7.24144780715559	9.29186196411124e-09	8.88401782152542e-07
12552	Cdh11	-2.97872556545734	5.36384058341345	9.56043400811058e-09	9.07986285863622e-07
11931	Atp1b1	-2.50526204895184	10.1297598461265	9.82049018085738e-09	9.25681488336791e-07
20563	Slit2	-3.79372600532948	4.30733425110161	9.87670828493558e-09	9.25681488336791e-07
59049	Slc22a17	-2.42330518751026	8.20147281998555	1.00082728519029e-08	9.31331894015699e-07
67661	Ift172	-3.19856599906922	4.94531551292926	1.00677461517912e-08	9.31331894015699e-07
19261	Sirpa	-2.54242607518383	7.65805857457982	1.05490578362684e-08	9.65536221695046e-07
13841	Epha7	-2.67472594907736	6.37923647999174	1.06236697240023e-08	9.65536221695046e-07
12282	Hyou1	-3.07076147066252	5.19693690021383	1.06408245687296e-08	9.65536221695046e-07
18167	Npy2r	-3.65912240084517	5.13510403168889	1.07709259181447e-08	9.71155763480309e-07
223455	March6	-2.73708143516518	7.05348699426933	1.08698099974661e-08	9.73907630339009e-07
68510	Ints1	-2.81749956204574	5.62147443337697	1.09619118823076e-08	9.76021229220962e-07
13034	Ctse	-3.91484438434546	7.90249964474108	1.107893317944e-08	9.79011842017073e-07
